rank,song_id,score,term_va,term_cte,term_ngram,d_va,d_cte,sim_ngram
1,1332,0.3781098617873246,-0.3718901382126754,-0.0,0.75,0.3718901382126754,0.0,1.0
2,1843,0.21045185082066753,-0.5395481491793325,-0.0,0.75,0.5395481491793325,0.0,1.0
3,1290,0.11857143570512407,-0.6314285642948759,-0.0,0.75,0.6314285642948759,0.0,1.0
4,365,0.0360953802069669,-0.7139046197930331,-0.0,0.75,0.7139046197930331,0.0,1.0
5,529,-0.015468548341934896,-0.7654685483419349,-0.0,0.75,0.7654685483419349,0.0,1.0
6,1836,-0.01645999059888443,-0.01645999059888443,-0.0,0.0,0.01645999059888443,0.8467265636366357,0.0
7,181,-0.019548272635540098,-0.18621493930220676,-0.0,0.16666666666666666,0.18621493930220676,0.5579511395274702,0.2222222222222222
8,1066,-0.03358669972549782,-0.03358669972549782,-0.0,0.0,0.03358669972549782,0.425648293374929,0.0
9,392,-0.04356833251508321,-0.04356833251508321,-0.0,0.0,0.04356833251508321,0.30296957829959364,0.0
10,1523,-0.04775239744955703,-0.2620381117352713,-0.0,0.21428571428571427,0.2620381117352713,0.1148109500599853,0.2857142857142857
