rank,song_id,score,term_va,term_cte,term_ngram,d_va,d_cte,sim_ngram
1,1836,-0.01645999059888443,-0.01645999059888443,-0.0,0.0,0.01645999059888443,0.8467265636366357,0.0
2,1066,-0.03358669972549782,-0.03358669972549782,-0.0,0.0,0.03358669972549782,0.425648293374929,0.0
3,392,-0.04356833251508321,-0.04356833251508321,-0.0,0.0,0.04356833251508321,0.30296957829959364,0.0
4,323,-0.04921986398122248,-0.04921986398122248,-0.0,0.0,0.04921986398122248,0.36620409622270317,0.0
5,1800,-0.05324543602161068,-0.05324543602161068,-0.0,0.0,0.05324543602161068,0.3824260306537629,0.0
6,1070,-0.05591925729477331,-0.05591925729477331,-0.0,0.0,0.05591925729477331,0.5909044269928891,0.0
7,1080,-0.06420888659667867,-0.06420888659667867,-0.0,0.0,0.06420888659667867,0.6931471805599453,0.0
8,78,-0.06731193455754379,-0.06731193455754379,-0.0,0.0,0.06731193455754379,0.39608410317711157,0.0
9,151,-0.06941242224313457,-0.06941242224313457,-0.0,0.0,0.06941242224313457,0.8902164333875142,0.0
10,1989,-0.07110679155853084,-0.07110679155853084,-0.0,0.0,0.07110679155853084,0.21888858333471953,0.0
