rank,song_id,score,term_va,term_cte,term_ngram,d_va,d_cte,sim_ngram
1,109,-0.05617687989905443,-0.03840725885973202,-0.04554739881710018,0.027777777777777776,0.03840725885973202,0.4554739881710018,0.037037037037037035
2,81,-0.1207559020144956,-0.10920344900516318,-0.011552453009332421,0.0,0.10920344900516318,0.1155245300933242,0.0
3,52,-0.16784767550063076,-0.13537966033740895,-0.03246801516322181,0.0,0.13537966033740895,0.3246801516322181,0.0
4,253,-0.17954911669925216,-0.14292286622875439,-0.03662625047049777,0.0,0.14292286622875439,0.3662625047049777,0.0
5,486,-0.1832061820271378,-0.15138047361239715,-0.03182570841474064,0.0,0.15138047361239715,0.3182570841474064,0.0
6,555,-0.19209654317012534,-0.1804111061533278,-0.011685437016797529,0.0,0.1804111061533278,0.11685437016797529,0.0
7,976,-0.193580327597069,-0.1882247547911756,-0.005355572805893405,0.0,0.1882247547911756,0.05355572805893405,0.0
8,110,-0.19378938330956383,-0.15114391925222936,-0.04264546405733447,0.0,0.15114391925222936,0.4264546405733447,0.0
9,122,-0.19441086345511077,-0.1495966712777514,-0.04481419217735938,0.0,0.1495966712777514,0.4481419217735938,0.0
10,519,-0.21140177314043937,-0.1986714897745431,-0.012730283365896256,0.0,0.1986714897745431,0.12730283365896256,0.0
